"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YhyQAE","NO3","6970631400118822","707057500069293840"
"[Charging_Facility__c]","a239Y0000000YhzQAE","NO3","6970631408714972","707057500069235536"
"[Charging_Facility__c]","a239Y0000000Yi0QAE","NO2","7359992909457165","707057500072030395"
"[Charging_Facility__c]","a239Y0000000Yi1QAE","NO3","5706567313843431","707057500010987231"
"[Charging_Facility__c]","a239Y0000000Yi2QAE","NO1","7359992893611413","707057500023352705"
"[Charging_Facility__c]","a239Y0000000Yi3QAE","NO1","5706567283414297","707057500080781982"
"[Charging_Facility__c]","a239Y0000000Yi4QAE","NO5","6970631407066270","707057500029939061"
"[Charging_Facility__c]","a239Y0000000Yi5QAE","NO3","6970631407874219","707057500065574028"
"[Charging_Facility__c]","a239Y0000000Yi6QAE","NO1","7359992909029683","707057500057337693"
"[Charging_Facility__c]","a239Y0000000Yi7QAE","NO1","7359992907058029","707057500057192773"
"[Charging_Facility__c]","a239Y0000000Yi8QAE","NO3","6970631408884040","707057500065588919"
"[Charging_Facility__c]","a239Y0000000Yi9QAE","NO5","6970631409009428","707057500029944379"
"[Charging_Facility__c]","a239Y0000000YiAQAU","NO2","7359992926353808","707057500072112749"
"[Charging_Facility__c]","a239Y0000000YiBQAU","NO1","7359992909109545","707057500057471076"
"[Charging_Facility__c]","a239Y0000000YiCQAU","NO3","6970631408761310","707057500069271947"
"[Charging_Facility__c]","a239Y0000000YiDQAU","NO3","6970631408702269","707057500069140502"
"[Charging_Facility__c]","a239Y0000000YiFQAU","NO5","6970631402853189","707057500029798187"
"[Charging_Facility__c]","a239Y0000000YiGQAU","NO1","5706567269905818","707057500080798881"
"[Charging_Facility__c]","a239Y0000000YiHQAU","NO2","5706567293628363","707057500076533915"
"[Charging_Facility__c]","a239Y0000000YiIQAU","NO3","6970631405225648","707057500069190316"
"[Charging_Facility__c]","a239Y0000000YiJQAU","NO5","6970631402679628","707057500029787775"
"[Charging_Facility__c]","a239Y0000000YiKQAU","NO3","6970631408880998","707057500065582986"
"[Charging_Facility__c]","a239Y0000000YiLQAU","NO1","7359992924847781","707057500057682045"
"[Charging_Facility__c]","a239Y0000000YiMQAU","NO2","7359992909764300","707057500072088372"
"[Charging_Facility__c]","a239Y0000000YiNQAU","NO1","5706567329635310","707057500017066342"
"[Charging_Facility__c]","a239Y0000000YiOQAU","NO5","6970631402840530","707057500029937838"
"[Charging_Facility__c]","a239Y0000000YiPQAU","NO5","6970631402852632","707057500029810506"
"[Charging_Facility__c]","a239Y0000000YiQQAU","NO3","",""
